id code montant libelle_court libelle_long montant_cas
1#SEPARATEUR#AAFA001#SEPARATEUR#620.93#SEPARATEUR#EXÉRÈSE T. INTRAPARE#SEPARATEUR#Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie#SEPARATEUR#680.84
2#SEPARATEUR#AAFA002#SEPARATEUR#548.9#SEPARATEUR#EXÉRÈSE T. INTRAPARE#SEPARATEUR#Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie#SEPARATEUR#634.6
3#SEPARATEUR#AAFA003#SEPARATEUR#849.51#SEPARATEUR#EXÉRÈSE LÉS. TR. CÉR#SEPARATEUR#Exérèse de lésion du tronc cérébral, par craniotomie#SEPARATEUR#997.03
4#SEPARATEUR#AAFA004#SEPARATEUR#888.45#SEPARATEUR#HÉMISPHÉRECTOMIE FCT#SEPARATEUR#Hémisphérectomie fonctionnelle, par craniotomie#SEPARATEUR#888.45
5#SEPARATEUR#AAFA005#SEPARATEUR#683.87#SEPARATEUR#EXÉRÈSE LÉS. CORPS C#SEPARATEUR#Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie#SEPARATEUR#711.42
6#SEPARATEUR#AAFA006#SEPARATEUR#430.54#SEPARATEUR#RÉSEC. PARENCHYME CÉ#SEPARATEUR#Résection de parenchyme cérébral pour infarctus expansif, par craniotomie#SEPARATEUR#430.54
7#SEPARATEUR#AAFA007#SEPARATEUR#547.6#SEPARATEUR#EXCISION 1ZONE ÉPILE#SEPARATEUR#Excision d'une zone épileptogène, par craniotomie#SEPARATEUR#632.37
8#SEPARATEUR#AAFA008#SEPARATEUR#430.54#SEPARATEUR#RÉSEC. PARENCHYME CÉ#SEPARATEUR#Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie#SEPARATEUR#430.54
9#SEPARATEUR#AAGA900#SEPARATEUR#0#SEPARATEUR#ABL. ÉLECTRODE CORTI#SEPARATEUR#Ablation d'électrode corticale cérébrale, par craniotomie#SEPARATEUR#0
10#SEPARATEUR#AAGB001#SEPARATEUR#98.1#SEPARATEUR#ABL. ÉLECTRODE CÉRÉB#SEPARATEUR#Ablation d'électrode intracérébrale#SEPARATEUR#137.96
11#SEPARATEUR#AAJA001#SEPARATEUR#427.7#SEPARATEUR#ÉVAC. COLLECTION CÉR#SEPARATEUR#Évacuation de collection intracérébrale, par craniotomie#SEPARATEUR#550.34
