id code montant libelle_court libelle_long montant_cas
1#SEPARATEUR#AAFA001#SEPARATEUR#602.84#SEPARATEUR#EXÉRÈSE T. INTRAPARE#SEPARATEUR#Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie#SEPARATEUR#661.01
2#SEPARATEUR#AAFA002#SEPARATEUR#532.91#SEPARATEUR#EXÉRÈSE T. INTRAPARE#SEPARATEUR#Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie#SEPARATEUR#616.12
3#SEPARATEUR#AAFA003#SEPARATEUR#824.77#SEPARATEUR#EXÉRÈSE LÉS. TR. CÉR#SEPARATEUR#Exérèse de lésion du tronc cérébral, par craniotomie#SEPARATEUR#967.99
4#SEPARATEUR#AAFA004#SEPARATEUR#862.57#SEPARATEUR#HÉMISPHÉRECTOMIE FCT#SEPARATEUR#Hémisphérectomie fonctionnelle, par craniotomie#SEPARATEUR#862.57
5#SEPARATEUR#AAFA005#SEPARATEUR#663.95#SEPARATEUR#EXÉRÈSE LÉS. CORPS C#SEPARATEUR#Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie#SEPARATEUR#690.7
6#SEPARATEUR#AAFA006#SEPARATEUR#418#SEPARATEUR#RÉSEC. PARENCHYME CÉ#SEPARATEUR#Résection de parenchyme cérébral pour infarctus expansif, par craniotomie#SEPARATEUR#418
7#SEPARATEUR#AAFA007#SEPARATEUR#531.65#SEPARATEUR#EXCISION 1ZONE ÉPILE#SEPARATEUR#Excision d'une zone épileptogène, par craniotomie#SEPARATEUR#613.95
8#SEPARATEUR#AAFA008#SEPARATEUR#418#SEPARATEUR#RÉSEC. PARENCHYME CÉ#SEPARATEUR#Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie#SEPARATEUR#418
9#SEPARATEUR#AAGA900#SEPARATEUR#0#SEPARATEUR#ABL. ÉLECTRODE CORTI#SEPARATEUR#Ablation d'électrode corticale cérébrale, par craniotomie#SEPARATEUR#0
10#SEPARATEUR#AAGB001#SEPARATEUR#95.24#SEPARATEUR#ABL. ÉLECTRODE CÉRÉB#SEPARATEUR#Ablation d'électrode intracérébrale#SEPARATEUR#133.94
11#SEPARATEUR#AAJA001#SEPARATEUR#415.24#SEPARATEUR#ÉVAC. COLLECTION CÉR#SEPARATEUR#Évacuation de collection intracérébrale, par craniotomie#SEPARATEUR#534.31
12#SEPARATEUR#AAJA002#SEPARATEUR#286.32#SEPARATEUR#ÉVAC. HÉMATOME CÉRÉB#SEPARATEUR#Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie#SEPARATEUR#312.04
13#SEPARATEUR#AAJA003#SEPARATEUR#418#SEPARATEUR#ÉVAC. HÉMATOME INTRA#SEPARATEUR#Évacuation d'hématome intracérébelleux, par craniotomie#SEPARATEUR#418
